SA12018_code	DHB2015_name
7001202	Waitemata
7001138	Waitemata
7001182	Waitemata
7001178	Waitemata
7001177	Waitemata
7001179	Waitemata
7001173	Waitemata
7001175	Waitemata
7001187	Waitemata
7001185	Waitemata
7001191	Waitemata
7001275	Waitemata
7001281	Waitemata
7001285	Waitemata
7001298	Waitemata
7001186	Waitemata
7001190	Waitemata
7001204	Waitemata
7001203	Waitemata
7001208	Waitemata
7001276	Waitemata
7001277	Waitemata
7001278	Waitemata
7001311	Waitemata
7001299	Waitemata
7001309	Waitemata
7001314	Waitemata
7001112	Northland
7001148	Waitemata
7001149	Waitemata
7001121	Area outside District Health Board
7001119	Area outside District Health Board
7022482	Area outside District Health Board
7001174	Waitemata
7001174	Area outside District Health Board
7003137	Waitemata
7003141	Waitemata
7003145	Waitemata
7003144	Waitemata
7003140	Waitemata
7003139	Waitemata
7003143	Waitemata
7003142	Waitemata
7003146	Waitemata
7003138	Waitemata
7003147	Waitemata
7003027	Waitemata
7003031	Waitemata
7003035	Waitemata
7003046	Waitemata
7003043	Waitemata
7003133	Waitemata
7003134	Waitemata
7003132	Waitemata
7003135	Waitemata
7003136	Waitemata
7003128	Waitemata
7003129	Waitemata
7003131	Waitemata
7003130	Waitemata
7003011	Waitemata
7003014	Waitemata
7003017	Waitemata
7003018	Waitemata
7003022	Waitemata
7003010	Waitemata
7003013	Waitemata
7003012	Waitemata
7003008	Waitemata
7003009	Waitemata
7002867	Waitemata
7002860	Waitemata
7002862	Waitemata
7002868	Waitemata
7003016	Waitemata
7003015	Waitemata
7003020	Waitemata
7003019	Waitemata
7003023	Waitemata
7002869	Waitemata
7003127	Waitemata
7003004	Waitemata
7003003	Waitemata
7003006	Waitemata
7003002	Waitemata
7003007	Waitemata
7003005	Waitemata
7003000	Waitemata
7002997	Waitemata
7002865	Waitemata
7002982	Waitemata
7002984	Waitemata
7002981	Waitemata
7002983	Waitemata
7002994	Waitemata
7002992	Waitemata
7002993	Waitemata
7003123	Waitemata
7003126	Waitemata
7003125	Waitemata
7003124	Waitemata
7002976	Waitemata
7002978	Waitemata
7002979	Waitemata
7002980	Waitemata
7002986	Waitemata
7002977	Waitemata
7002987	Waitemata
7002990	Waitemata
7002991	Waitemata
7002988	Waitemata
7002989	Waitemata
7002846	Waitemata
7002847	Waitemata
7002845	Waitemata
7002848	Waitemata
7002850	Waitemata
7002851	Waitemata
7002852	Waitemata
7002841	Waitemata
7002008	Waitemata
7002087	Waitemata
7002009	Waitemata
7002002	Waitemata
7002010	Waitemata
7002005	Waitemata
7002015	Waitemata
7002006	Waitemata
7002004	Waitemata
7002016	Waitemata
7002001	Waitemata
7002085	Waitemata
7002075	Waitemata
7002076	Waitemata
7002082	Waitemata
7002080	Waitemata
7002079	Waitemata
7002083	Waitemata
7002081	Waitemata
7002117	Waitemata
7002071	Waitemata
7002073	Waitemata
7002072	Waitemata
7002086	Waitemata
7002074	Waitemata
7001999	Waitemata
7001992	Waitemata
7002000	Waitemata
7001990	Waitemata
7001916	Waitemata
7001991	Waitemata
7001920	Waitemata
7001917	Waitemata
7001919	Waitemata
7001918	Waitemata
7001996	Waitemata
7001994	Waitemata
7001995	Waitemata
7001997	Waitemata
7001998	Waitemata
7001924	Waitemata
7001927	Waitemata
7001922	Waitemata
7001982	Waitemata
7001983	Waitemata
7001985	Waitemata
7001984	Waitemata
7001973	Waitemata
7001987	Waitemata
7001975	Waitemata
7001977	Waitemata
7001979	Waitemata
7001981	Waitemata
7001980	Waitemata
7001978	Waitemata
7001974	Waitemata
7001972	Waitemata
7001889	Waitemata
7001976	Waitemata
7001890	Waitemata
7001971	Waitemata
7002066	Waitemata
7002069	Waitemata
7001988	Waitemata
7002070	Waitemata
7002064	Waitemata
7002065	Waitemata
7002063	Waitemata
7002048	Waitemata
7002055	Waitemata
7002058	Waitemata
7002057	Waitemata
7002059	Waitemata
7002051	Waitemata
7002054	Waitemata
7001966	Waitemata
7001963	Waitemata
7001962	Waitemata
7001964	Waitemata
7001959	Waitemata
7001961	Waitemata
7001969	Waitemata
7001970	Waitemata
7001886	Waitemata
7001887	Waitemata
7001888	Waitemata
7002045	Waitemata
7002044	Waitemata
7002046	Waitemata
7002047	Waitemata
7002049	Waitemata
7002050	Waitemata
7001950	Waitemata
7002037	Waitemata
7002040	Waitemata
7002041	Waitemata
7002042	Waitemata
7001952	Waitemata
7002043	Waitemata
7001955	Waitemata
7001954	Waitemata
7001957	Waitemata
7001956	Waitemata
7001958	Waitemata
7001948	Waitemata
7001949	Waitemata
7001967	Waitemata
7001968	Waitemata
7001937	Waitemata
7001868	Waitemata
7001869	Waitemata
7001938	Waitemata
7001951	Waitemata
7001953	Waitemata
7001939	Waitemata
7001875	Waitemata
7001872	Waitemata
7001940	Waitemata
7001942	Waitemata
7001941	Waitemata
7002026	Waitemata
7001932	Waitemata
7002025	Waitemata
7002024	Waitemata
7002022	Waitemata
7001943	Waitemata
7001944	Waitemata
7001945	Waitemata
7001946	Waitemata
7001947	Waitemata
7002033	Waitemata
7002034	Waitemata
7002029	Waitemata
7002030	Waitemata
7002036	Waitemata
7002035	Waitemata
7002031	Waitemata
7002038	Waitemata
7002039	Waitemata
7002104	Waitemata
7002107	Waitemata
7002028	Waitemata
7002108	Waitemata
7002109	Waitemata
7002111	Waitemata
7002110	Waitemata
7002112	Waitemata
7002114	Waitemata
7002113	Waitemata
7002115	Waitemata
7002032	Waitemata
7002116	Waitemata
7001364	Waitemata
7001363	Waitemata
7001317	Waitemata
7001525	Waitemata
7001464	Waitemata
7001466	Waitemata
7001469	Waitemata
7001470	Waitemata
7001471	Waitemata
7001484	Waitemata
7001483	Waitemata
7001485	Waitemata
7001487	Waitemata
7001429	Waitemata
7001425	Waitemata
7001426	Waitemata
7001427	Waitemata
7001428	Waitemata
7001481	Waitemata
7001479	Waitemata
7001486	Waitemata
7001488	Waitemata
7001489	Waitemata
7001436	Waitemata
7001435	Waitemata
7001495	Waitemata
7001501	Waitemata
7001499	Waitemata
7001504	Waitemata
7001505	Waitemata
7001502	Waitemata
7001443	Waitemata
7001500	Waitemata
7001498	Waitemata
7001440	Waitemata
7001528	Waitemata
7001527	Waitemata
7001529	Waitemata
7001530	Waitemata
7001531	Waitemata
7001507	Waitemata
7001509	Waitemata
7001510	Waitemata
7001511	Waitemata
7001512	Waitemata
7001517	Waitemata
7001518	Waitemata
7001519	Waitemata
7001554	Waitemata
7001552	Waitemata
7001553	Waitemata
7001540	Waitemata
